37,2,4432
37,3,5015
37,4,3656
37,5,3093
37,6,3513
37,7,3821
38,1,4339
38,2,4234
38,3,4253
38,4,4171
38,5,3469
38,6,3484
38,7,4105
39,1,4055
39,2,4406
39,3,4495
39,4,4361
39,5,4842
39,6,5215
39,7,6231
40,1,5023
40,2,3540
40,3,4038
40,4,3969
40,5,4184
40,6,4122
40,7,4763
41,1,4403
41,2,4573
41,3,4035
41,4,5009
41,5,5632
41,6,4796
41,7,4862
42,1,5468
42,2,5644
42,3,5478
42,4,5288
42,5,5650
42,6,4790
42,7,5372
43,1,6719
43,2,5763
43,3,5932
43,4,6448
43,5,5010
43,6,7823
43,7,5996
44,1,5847
44,2,5692
44,3,5681
44,4,6024
44,5,5599
44,6,4944
44,7,4922
