input_date,weekofyear,input_week_day,puin,cnt
20190822,34,4,1761714989,647
20190823,34,5,1781810497,1426
20190828,35,3,1781810497,1364
20190831,35,6,1781806909,1101
20190907,36,6,1685161748,265
20190920,38,5,1781807945,1180
20190928,39,6,1781809819,915
20190924,39,2,1781808143,1238
20190818,33,7,2478637939,818
20190824,34,6,1781806909,762
20190908,36,7,1685160637,270
20191010,41,4,1001000037396,192
20191008,41,2,1781809449,1225
20190922,38,7,1685161287,288
20190927,39,5,3021573833,1159
20190915,37,7,3428867428,378
20190915,37,7,2931323584,347
20190915,37,7,3531033244,200
20190928,39,6,1781807461,963
20190819,34,1,3107361624,798
20190908,36,7,1761714609,288
20190924,39,2,1781809788,1270
20191016,42,3,2680486890,501
20190911,37,3,1781806667,1380
20190909,37,1,1761715377,400
20190916,38,1,1781810443,1272
20191014,42,1,2680486890,500
20191016,42,3,1781806734,1128
20190821,34,3,1542698720,427
20190907,36,6,2976786729,383
20190914,37,6,1761713410,315
20190816,33,5,3107361624,810
20190823,34,5,2713129639,283570
20190901,35,7,1781809449,1120
20190914,37,6,1761715460,310
20190917,38,2,2164312964,402
20191016,42,3,1001000286087,977
20191018,42,5,3357604587,349
20190907,36,6,1685161793,277
20190917,38,2,3321779464,368
20190914,37,6,1001000286087,25
20190924,39,2,1781806909,1284
20190929,39,7,2158351255,599
20190827,35,2,1761713838,572
20191012,41,6,1685160674,47
20191016,42,3,1781806251,1214
20191018,42,5,1781808832,1243
20190911,37,3,1761715749,396
20190913,37,5,1761714552,362
20190818,33,7,1685161287,540
20190829,35,4,3516139149,352
20190817,33,6,1781806909,1076
20190827,35,2,1761714609,578
20190905,36,4,3357604587,347
20190916,38,1,2976786729,572
20190830,35,5,1761713488,375
20190930,40,1,3357604587,406
20191003,40,4,1781808832,759
20190820,34,2,1685161147,518
20190904,36,3,1685161287,257
20190818,33,7,1761715749,659
20190828,35,3,1781809819,1348
20190901,35,7,1781806734,1103
20190824,34,6,1781809449,784
20190817,33,6,1761714657,621
20190823,34,5,1761715460,684
20191017,42,4,1685161287,88
20190914,37,6,1542698720,117
20190828,35,3,1761715749,550
20190829,35,4,1001000286087,309
20190906,36,5,1761714245,406
20190827,35,2,2680486890,504
20190907,36,6,3516139149,440
20191006,40,7,1781808719,816
20190825,34,7,1761713410,535
