input_date,weekofyear,input_week_day,puin,cnt
2019-08-23,34,5,1761714521,688
2019-08-24,34,6,1781808143,814
2019-09-05,36,4,1685161793,285
2019-09-16,38,1,1781807016,1236
2019-09-02,36,1,3507123484,421
2019-10-11,41,5,1781807441,1128
2019-10-03,40,4,1685161374,184
2019-08-23,34,5,3321779464,409
2019-08-21,34,3,1685161287,373
2019-09-11,37,3,1781809788,1429
2019-10-03,40,4,1781807016,769
2019-10-16,42,3,2976786729,2
2019-09-16,38,1,2164312964,338
2019-08-16,33,5,2713129639,324529
2019-08-20,34,2,2976786729,732
2019-09-08,36,7,1781806667,1185
2019-09-16,38,1,1781807461,1233
2019-09-28,39,6,2713129639,247779
2019-08-29,35,4,1761714989,564
2019-09-06,36,5,1761714989,345
2019-09-26,39,4,3428867428,388
2019-08-16,33,5,1001000197250,2
2019-08-16,33,5,1992602239,4704
2019-08-18,33,7,2158351255,632
2019-08-20,34,2,1761713410,765
2019-08-28,35,3,2713129639,277541
2019-08-31,35,6,1759863460,936
2019-09-02,36,1,2158351255,613
2019-09-28,39,6,1781807016,1047
2019-10-10,41,4,1683952717,248
2019-10-12,41,6,1685161147,54
2019-10-14,42,1,1542698720,395
2019-10-04,40,5,1781807016,864
2019-08-18,33,7,1685161374,509
2019-08-22,34,4,1761714989,647
2019-08-23,34,5,1781810497,1426
2019-08-28,35,3,1781810497,1364
2019-08-31,35,6,1781806909,1101
2019-09-07,36,6,1685161748,265
2019-09-20,38,5,1781807945,1180
2019-09-28,39,6,1781809819,915
2019-09-24,39,2,1781808143,1238
2019-08-18,33,7,2478637939,818
2019-08-24,34,6,1781806909,762
2019-09-08,36,7,1685160637,270
2019-10-10,41,4,1001000037396,192
2019-10-08,41,2,1781809449,1225
2019-09-22,38,7,1685161287,288
2019-09-27,39,5,3021573833,1159
2019-09-15,37,7,3428867428,378
2019-09-15,37,7,2931323584,347
2019-09-15,37,7,3531033244,200
2019-09-28,39,6,1781807461,963
2019-08-19,34,1,3107361624,798
2019-09-08,36,7,1761714609,288
2019-09-24,39,2,1781809788,1270
2019-10-16,42,3,2680486890,501
2019-09-11,37,3,1781806667,1380
2019-09-09,37,1,1761715377,400
2019-09-16,38,1,1781810443,1272
2019-10-14,42,1,2680486890,500
2019-10-16,42,3,1781806734,1128
2019-08-21,34,3,1542698720,427
2019-09-07,36,6,2976786729,383
2019-09-14,37,6,1761713410,315
2019-08-16,33,5,3107361624,810
2019-08-23,34,5,2713129639,283570
2019-09-01,35,7,1781809449,1120
2019-09-14,37,6,1761715460,310
2019-09-17,38,2,2164312964,402
2019-10-16,42,3,1001000286087,977
2019-10-18,42,5,3357604587,349
2019-09-07,36,6,1685161793,277
2019-09-17,38,2,3321779464,368
2019-09-14,37,6,1001000286087,25
2019-09-24,39,2,1781806909,1284
2019-09-29,39,7,2158351255,599
2019-08-27,35,2,1761713838,572
2019-10-12,41,6,1685160674,47
2019-10-16,42,3,1781806251,1214
2019-10-18,42,5,1781808832,1243
2019-09-11,37,3,1761715749,396
2019-09-13,37,5,1761714552,362
2019-08-18,33,7,1685161287,540
2019-08-29,35,4,3516139149,352
2019-08-17,33,6,1781806909,1076
2019-08-27,35,2,1761714609,578
2019-09-05,36,4,3357604587,347
2019-09-16,38,1,2976786729,572
2019-08-30,35,5,1761713488,375
2019-09-30,40,1,3357604587,406
2019-10-03,40,4,1781808832,759
2019-08-20,34,2,1685161147,518
2019-09-04,36,3,1685161287,257
2019-08-18,33,7,1761715749,659
2019-08-28,35,3,1781809819,1348
2019-09-01,35,7,1781806734,1103
2019-08-24,34,6,1781809449,784
2019-08-17,33,6,1761714657,621
2019-08-23,34,5,1761715460,684
2019-10-17,42,4,1685161287,88
2019-09-14,37,6,1542698720,117
2019-08-28,35,3,1761715749,550
2019-08-29,35,4,1001000286087,309
2019-09-06,36,5,1761714245,406
2019-08-27,35,2,2680486890,504
2019-09-07,36,6,3516139149,440
2019-10-06,40,7,1781808719,816
2019-08-25,34,7,1761713410,535
2019-10-11,41,5,1685160674,96
2019-08-24,34,6,1685160637,24
2019-08-30,35,5,2976786729,547
2019-09-10,37,2,1683952717,951
2019-09-28,39,6,1781809449,1039
2019-09-05,36,4,2931323584,285
2019-10-04,40,5,1685161287,200
2019-08-28,35,3,1685160637,318
2019-09-17,38,2,1685161147,222
2019-10-12,41,6,1685159830,47
2019-09-28,39,6,3107361624,11
2019-08-27,35,2,1761713149,549
2019-09-17,38,2,2713129639,219518
2019-09-19,38,4,2478637939,835
2019-09-30,40,1,1781809788,1093
2019-08-19,34,1,2976786729,671
2019-09-01,35,7,2158351255,625
2019-10-06,40,7,1781806667,881
2019-09-05,36,4,1542698720,399
2019-09-13,37,5,1761713544,398
2019-10-02,40,3,3533876209,5
2019-08-28,35,3,1761714521,494
2019-09-11,37,3,1781810030,1330
2019-08-21,34,3,1685161748,393
2019-09-01,35,7,3357604587,469
2019-09-21,38,6,3021573833,1154
2019-08-23,34,5,3507123484,606
2019-09-03,36,2,1685160637,336
2019-09-09,37,1,3107361624,548
2019-09-08,36,7,1761714989,299
2019-09-09,37,1,1781806909,1244
2019-08-20,34,2,1781807461,1599
2019-09-08,36,7,1781809449,1175
2019-09-02,36,1,1761715749,238
2019-10-01,40,2,1781808143,1477
2019-10-05,40,6,1781808143,644
2019-10-10,41,4,1685161287,111
2019-08-16,33,5,3428867428,509
2019-09-19,38,4,1685161819,274
2019-09-03,36,2,1761714552,295
2019-08-30,35,5,1761713838,375
2019-09-10,37,2,1761713544,388
2019-09-15,37,7,1761714989,354
2019-08-23,34,5,1781809449,1464
2019-08-29,35,4,1781807216,1654
2019-08-17,33,6,2478637939,518
2019-08-28,35,3,1685161819,327
2019-09-05,36,4,1781807216,1235
2019-09-07,36,6,1685160637,287
2019-09-26,39,4,1685160674,223
2019-08-16,33,5,1761714657,779
2019-08-19,34,1,3592397569,916
2019-09-14,37,6,1781809819,934
2019-08-21,34,3,1685160674,372
2019-08-31,35,6,3357604587,248
2019-10-08,41,2,1781807216,1280
2019-09-09,37,1,1761714989,436
2019-09-26,39,4,1685161748,239
2019-09-10,37,2,2158351255,614
2019-09-16,38,1,1761713334,347
2019-08-30,35,5,1759863460,889
2019-09-06,36,5,1685160637,270
2019-09-11,37,3,1685160674,212
2019-08-27,35,2,1781807441,1161
2019-09-28,39,6,1781808832,961
2019-10-02,40,3,2713129639,217512
2019-08-20,34,2,1001000197449,12
2019-09-03,36,2,1685161147,274
2019-10-11,41,5,1001000286087,944
2019-10-16,42,3,3473823790,3396
2019-08-24,34,6,1761714609,606
2019-08-29,35,4,1781807461,1607
2019-09-09,37,1,1761714521,424
2019-09-05,36,4,1781808143,1222
2019-08-31,35,6,1761714245,351
2019-08-31,35,6,1761713544,373
2019-09-22,38,7,1685160674,287
2019-09-24,39,2,1685161374,285
2019-10-11,41,5,1781808832,1178
2019-09-12,37,4,1685161147,253
2019-09-12,37,4,1685159830,271
2019-10-06,40,7,1781807016,905
2019-10-02,40,3,1001000286087,197
2019-10-02,40,3,2158351255,620
2019-10-03,40,4,1685161287,176
2019-10-01,40,2,1781808703,1415
2019-10-16,42,3,2158351255,618
2019-09-17,38,2,1781808143,1335
2019-09-17,38,2,3021573833,1172
2019-09-30,40,1,1685161793,187
2019-09-11,37,3,2269829235,420
2019-09-01,35,7,1542698720,227
2019-08-21,34,3,1761713334,684
2019-08-31,35,6,1685161748,245
2019-08-16,33,5,3592397569,511
2019-08-23,34,5,1781808703,1373
2019-09-21,38,6,2713129639,229610
2019-08-20,34,2,1685160674,504
2019-09-28,39,6,1781806251,947
2019-09-25,39,3,1685160674,290
2019-09-12,37,4,3428867428,565
2019-09-14,37,6,2164312964,137
2019-09-19,38,4,2713129639,219208
2019-10-09,41,3,3321779464,148
2019-09-04,36,3,1761713014,204
2019-10-18,42,5,1001000037396,271
2019-08-19,34,1,2164312964,381
2019-09-17,38,2,1685161793,242
2019-09-23,39,1,2931323584,389
2019-09-23,39,1,1992602239,2223
2019-09-03,36,2,1761713544,253
2019-09-14,37,6,2976786729,172
2019-09-23,39,1,1001000286087,268
2019-08-27,35,2,1781809788,1210
2019-09-02,36,1,1781807461,1386
2019-09-04,36,3,1781810030,1310
2019-09-06,36,5,2931323584,244
2019-08-26,35,1,1781807016,1248
2019-10-15,42,2,1001000037396,348
2019-08-18,33,7,1761713488,621
2019-08-28,35,3,3357604587,743
2019-08-18,33,7,1761714657,575
2019-10-04,40,5,2269829235,120
2019-10-06,40,7,1781810497,765
2019-10-07,41,1,3357604587,282
2019-09-06,36,5,1685159830,310
2019-09-06,36,5,1781808143,1558
2019-09-11,37,3,1781808471,1379
2019-08-29,35,4,3533876209,396
2019-08-17,33,6,3357604587,684
2019-09-03,36,2,1759863460,539
2019-09-03,36,2,1761714540,242
2019-09-15,37,7,1685161147,230
2019-10-01,40,2,3533876209,7
2019-08-18,33,7,1001000286087,8475
2019-08-21,34,3,1781807945,1426
2019-08-22,34,4,3516139149,444
2019-08-26,35,1,1781810443,1351
2019-09-03,36,2,1761714245,257
2019-09-07,36,6,1781808832,1008
2019-09-29,39,7,3021573833,1383
2019-08-21,34,3,3531033244,500
2019-09-14,37,6,1761715377,336
2019-10-08,41,2,2164312964,483
2019-09-29,39,7,1781806667,1122
2019-09-09,37,1,1761713545,405
2019-08-26,35,1,1761714989,717
2019-09-06,36,5,1761715749,336
2019-09-20,38,5,1542698720,496
2019-09-03,36,2,3321779464,231
2019-09-30,40,1,1685161374,201
2019-08-17,33,6,1759863460,940
2019-08-24,34,6,1761713014,560
2019-08-31,35,6,1781807945,1028
2019-09-14,37,6,3021573833,985
2019-09-21,38,6,3357604587,220
2019-09-08,36,7,1781809788,1141
2019-08-17,33,6,1685160637,519
2019-10-07,41,1,1781808703,947
2019-10-09,41,3,1781807016,1304
2019-10-08,41,2,1685161748,151
2019-08-18,33,7,2931323584,613
2019-10-18,42,5,1781807945,1231
2019-09-26,39,4,3021573833,1409
2019-09-30,40,1,2931323584,249
2019-08-16,33,5,1685162081,538
2019-08-17,33,6,1542698720,210
2019-09-13,37,5,3592397569,320
2019-10-14,42,1,3516139149,331
2019-08-30,35,5,1685162081,292
2019-08-26,35,1,2713129639,263967
2019-09-29,39,7,1781808719,1164
2019-08-18,33,7,1761714552,643
2019-09-03,36,2,1001000037396,1041
2019-09-16,38,1,1761713544,312
2019-10-04,40,5,1781810030,928
2019-10-11,41,5,3357604587,184
2019-08-31,35,6,1761713488,371
2019-08-17,33,6,3428867428,306
2019-09-16,38,1,1781808832,1218
2019-10-08,41,2,1781806667,1318
2019-08-17,33,6,1761714989,633
2019-09-19,38,4,1781807945,1336
2019-09-09,37,1,1761713334,409
2019-09-04,36,3,1685161793,271
2019-08-22,34,4,1761713334,688
2019-08-23,34,5,1761713410,691
2019-09-08,36,7,1781810443,1242
2019-09-25,39,3,3531033244,466
2019-09-05,36,4,1781808832,1249
2019-10-01,40,2,1685160674,179
2019-10-09,41,3,1781809788,1269
2019-08-28,35,3,1759863460,828
2019-10-07,41,1,1685161287,130
2019-09-07,36,6,2269829235,317
2019-08-19,34,1,1781810030,1456
2019-08-29,35,4,1759863460,850
2019-09-26,39,4,1683952717,1363
2019-10-13,41,7,1781809788,793
2019-10-05,40,6,1685161748,237
2019-10-08,41,2,3357604587,249
2019-10-18,42,5,2269829235,167
2019-09-23,39,1,2713129639,223831
2019-09-23,39,1,3428867428,470
2019-09-16,38,1,1761714552,338
2019-10-09,41,3,2158351255,619
2019-09-01,35,7,3428867428,238
2019-09-17,38,2,1781806251,1371
2019-09-20,38,5,2680486890,499
2019-10-17,42,4,1781808719,1153
2019-09-30,40,1,1781808471,1124
2019-08-20,34,2,1761713844,722
2019-09-01,35,7,1761713838,223
2019-08-28,35,3,1781806667,1469
2019-08-29,35,4,1781809819,1713
2019-09-02,36,1,1685162081,290
2019-09-03,36,2,1683952717,1216
2019-09-17,38,2,1761713410,120
2019-08-25,34,7,1781807461,807
2019-09-14,37,6,1781806667,890
2019-09-29,39,7,1685161793,216
2019-09-16,38,1,1761714946,315
2019-10-04,40,5,1685161819,180
2019-09-27,39,5,1781809788,1269
2019-10-14,42,1,3021573833,955
2019-09-25,39,3,1781808832,1261
2019-10-09,41,3,3473823790,1137
2019-08-31,35,6,3107361624,130
2019-09-07,36,6,1781809819,931
2019-09-12,37,4,1542698720,465
2019-09-16,38,1,3321779464,362
2019-10-18,42,5,3592397569,3272
2019-10-07,41,1,1781810443,920
2019-10-11,41,5,2931323584,159
2019-10-12,41,6,3428867428,50
2019-08-25,34,7,1685161287,46
2019-08-20,34,2,1759863460,859
2019-09-11,37,3,1781808703,1371
2019-09-20,38,5,3516139149,454
2019-10-17,42,4,1781806251,1169
2019-08-16,33,5,1685161748,497
2019-08-25,34,7,3516139149,323
2019-08-23,34,5,1761713488,774
2019-09-12,37,4,1683952717,1466
2019-09-21,38,6,1781807945,984
2019-09-24,39,2,2976786729,678
2019-09-14,37,6,1761714989,324
2019-10-09,41,3,1781810443,1227
2019-08-31,35,6,1685161374,258
2019-10-06,40,7,1685159830,156
2019-10-01,40,2,1781807461,1365
2019-08-27,35,2,1781807945,1247
2019-09-17,38,2,3357604587,376
2019-10-02,40,3,1542698720,133
2019-08-30,35,5,1685161819,250
2019-09-29,39,7,1781807461,1147
2019-08-22,34,4,1685161374,148
