s_cont_stat_date,content_type,src,union_chann_id,today_ruku_cont_cnt
2020-01-30,图文,14,120,77673
2020-02-09,图文,14,134,41812
2019-12-14,图文,14,105,5365
2019-12-22,图文,14,121,103714
2019-12-23,图文,14,133,116612
2019-12-23,图文,14,135,3732
2019-12-24,图文,14,117,54307
2019-12-27,图文,14,138,5434
2019-12-29,图文,14,133,109495
2020-01-01,图文,14,141,23721
2020-01-02,图文,14,112,286990
2020-01-04,图文,52,\N,75248
2020-01-04,图文,14,132,84035
2020-01-07,图文,14,120,133308
2020-01-13,图文,14,116,46990
2020-01-18,图文,14,125,12392
2020-01-18,图文,52,\N,73082
2020-01-19,图文,14,111,70802
2020-02-05,图文,14,141,26746
2020-02-07,图文,52,\N,110532
2020-02-08,图文,14,\N,175818
2019-12-07,图文,14,119,20478
2019-12-16,图文,14,121,130725
2019-12-22,图文,52,\N,71329
2019-12-28,图文,52,110,4756
2020-01-08,图文,14,112,346127
2020-01-11,图文,14,118,37810
2020-01-12,图文,14,126,68289
2020-01-12,图文,14,100,83117
2020-01-17,图文,14,102,10491
2020-01-20,图文,14,120,88668
2020-01-22,图文,14,118,32125
2020-01-26,图文,14,121,96673
2020-01-28,图文,14,128,6192
2020-02-16,图文,52,120,1948
2020-02-17,图文,14,100,112244
2020-02-20,图文,14,130,21747
2020-02-11,图文,14,109,14464
2020-02-17,图文,14,132,61979
2020-02-20,图文,14,125,16107
2020-02-20,图文,14,132,68679
2020-02-21,图文,14,111,77202
2020-02-23,图文,14,130,16633
2020-02-26,图文,14,131,4719
2020-02-19,图文,14,100,103923
2020-02-20,图文,14,140,7705
2020-02-26,图文,14,109,13166
2020-02-22,图文,14,\N,294552
2020-02-25,图文,65,108,921
2020-02-21,图文,65,110,5369
2020-02-20,图文,52,114,5483
2020-02-15,图文,52,\N,107425
2020-02-18,图文,14,126,84272
2020-02-26,图文,14,119,25138
2020-02-28,图文,52,\N,123782
2020-02-29,图文,14,132,65722
2020-02-11,图文,14,119,23428
2020-02-27,图文,14,134,39755
2020-03-01,图文,14,112,306310
2020-02-14,图文,14,133,115117
2020-02-29,图文,14,113,7901
2020-02-12,图文,14,124,46147
2020-02-21,图文,14,117,28050
2020-02-21,图文,65,115,323
2020-02-21,图文,14,119,25097
2020-02-23,图文,52,\N,100468
2020-02-25,图文,14,117,29196
2020-02-27,图文,52,\N,127987
2020-03-01,图文,14,133,108788
2019-12-08,图文,14,104,37001
2019-12-13,图文,14,126,103245
2019-12-21,图文,14,117,51483
2019-12-24,图文,14,119,25819
2019-12-31,图文,14,100,83339
2020-01-06,图文,14,108,11662
2020-01-11,图文,14,\N,120729
2020-01-19,图文,14,\N,116421
2020-02-05,图文,14,100,84551
2019-12-04,图文,14,132,61333
2019-12-12,图集,49,\N,4759
2019-12-17,图文,14,\N,56882
2019-12-21,图文,14,121,112012
2019-12-29,图文,14,140,7148
2020-01-06,图文,14,121,124292
2020-01-06,图文,14,104,48169
2020-01-07,图文,14,134,40742
2020-01-08,图文,14,120,136577
2020-01-09,图文,14,133,107811
2020-01-09,图文,14,100,86481
2020-01-09,图文,52,\N,124367
2020-01-15,图文,14,116,46972
2020-01-16,图文,14,126,88786
2020-02-04,图文,14,100,85294
2019-12-12,图文,52,117,1630
2019-12-20,图文,52,112,13701
2020-02-08,图文,67,121,1217
2019-12-06,图文,14,115,11026
2019-12-07,图文,14,134,43147
2019-12-12,图文,14,123,29213
2019-12-13,图文,14,100,97746
2019-12-18,图文,14,119,27961
2019-12-18,图文,14,134,44472
2019-12-20,图文,14,141,28092
2019-12-20,图文,14,115,11025
2019-12-23,图文,14,118,51094
2020-01-02,图文,14,120,113603
2020-01-10,图文,14,121,113025
2020-01-11,图文,14,104,44203
2020-01-12,图文,14,\N,110146
2019-12-04,图文,14,111,105916
2019-12-11,图文,14,120,161424
2019-12-12,图文,14,111,84651
2019-12-19,图文,14,114,64786
2019-12-25,图文,22,121,2265
2020-01-12,图文,14,106,22771
2020-01-15,图文,14,128,12242
2020-01-18,图文,14,100,84594
2020-01-19,图文,14,132,56785
2020-01-25,图文,14,119,7861
2020-02-01,图文,14,119,17776
2020-02-03,图文,14,134,43291
2020-02-03,图文,14,141,27209
2020-02-06,图文,14,121,144276
2020-02-06,图文,14,108,10331
2019-12-10,图文,52,122,2879
2020-02-15,图文,14,118,27862
2020-02-19,图文,14,117,26020
2020-02-26,图文,14,111,87684
2019-12-04,图文,14,119,26398
2019-12-10,图文,14,133,114524
2019-12-13,图文,14,141,31108
2019-12-17,图文,14,123,29696
2019-12-17,图文,14,110,31703
2019-12-26,图文,14,100,83839
2019-12-26,图文,14,126,92845
