33,7,266271
34,1,292502
34,2,283626
34,3,270311
34,4,267305
34,5,283570
34,6,257774
34,7,247481
35,1,263967
35,2,252063
35,3,277541
35,4,270868
35,5,273710
35,6,257748
35,7,226027
36,1,242941
36,2,242862
36,3,235028
36,4,242804
36,5,239287
36,6,231101
36,7,240925
37,1,243589
37,2,239435
37,3,218965
37,4,237193
37,5,242764
37,6,215906
37,7,200420
38,1,220176
38,2,219518
38,3,226675
38,4,219208
38,5,223574
38,6,229610
38,7,251550
39,1,223831
39,2,217325
39,3,256427
39,4,242363
39,5,248055
39,6,247779
39,7,230591
40,1,231902
40,2,214914
40,3,217512
40,4,220301
40,5,211676
40,6,207064
40,7,189804
41,1,193380
41,2,208692
41,3,220222
41,4,219584
41,5,213806
41,6,211886
41,7,213965
42,1,209746
42,2,223277
42,3,229336
42,4,235770
42,5,237410
42,6,219681
42,7,219736
