union_chann_cn,puin,vv,zan_cnt,shoucang_cnt,share_cnt,f_fans_cnt,youzhi_cnt
旅游,1472165655,1916993,19754,70,212,3594,0
旅游,1651240751,103655,1641,5,37,121,0
旅游,972979925,63762,1133,24,46,2127,0
旅游,1740629905,592101,7299,34,69,80,0
旅游,3241392736,397965,6304,130,264,24,0
旅游,1001004037360,3383533,37911,220,1492,247,0
旅游,2010845348,235106,3329,53,106,61895,0
旅游,3512181626,673525,7156,51,86,93,0
旅游,1135517850,359017,3840,25,61,257,0
旅游,1720730167,1091000,12456,38,102,716,0
旅游,3513285306,16892505,392572,5531,4800,11275,0
旅游,1922397781,200608,2943,126,340,26,0
旅游,1001000138893,4357208,48858,208,652,331,0
旅游,594988183,316073,4425,20,44,2639,0
旅游,1850398494,509397,2707,10,174,712,0
旅游,2466853056,113829,1418,26,87,6499,0
旅游,3430740193,571060,4011,18,58,2583,0
旅游,1761744390,14287788,252089,4127,2419,2027,1
旅游,1929823879,177830,1224,1,26,1908,0
旅游,3062471818,10813694,135180,2701,1806,31040,0
旅游,1844546492,107049,1109,71,212,369,0
旅游,2210606202,575995,4234,31,47,4240,3
旅游,3511377541,174874,4554,79,131,1680,2
旅游,1696988631,503069,4195,13,46,13558,0
旅游,3154751198,313178,10906,220,1131,2773,0
旅游,3477367002,107677,1238,11,57,13258,2
旅游,1001005282090,114562,2998,34,44,56,1
旅游,3600385755,624876,7957,236,280,109,0
旅游,1491653833,1071589,8635,20,69,7129,0
旅游,3414136421,1062956,45053,693,1131,9511,0
旅游,3468308007,566934,8341,44,50,390,0
旅游,1540886949,601920,4276,42,65,5465,4
旅游,1001004113247,1022853,19217,469,1131,101,0
旅游,729610743,1593437,22014,78,140,229,0
旅游,1710554425,76635,2005,64,102,2900,0
旅游,2972449460,78680,1387,55,127,26,0
旅游,3136487744,92524,591,3,9,4371,0
旅游,1356459593,276775,2124,7,36,5766,0
旅游,1509952556,9133352,229001,3590,4861,3133,0
旅游,3090668948,91078,768,0,28,251,0
旅游,2186597287,312119,6977,99,313,4720,0
旅游,3387022935,334667,7184,114,337,5176,1
旅游,3423139547,151741,3357,23,39,22268,0
旅游,3593215204,298009,9078,122,344,782,0
旅游,1425143126,139266,1706,52,161,102,0
旅游,1794948886,66731,451,3,32,825,0
旅游,2080538674,105759,2090,96,258,7779,1
旅游,2979587868,80762,699,5,25,1184,0
旅游,1486636460,244887,1497,15,103,4904,1
旅游,1001002075148,83074,450,2,16,36,0
旅游,1649887445,67207,480,1,9,48113,0
旅游,2924001240,8495117,179910,2223,1528,2578,0
旅游,1738643038,6195100,82913,231,448,644,0
旅游,3028614331,37633076,311866,4005,6120,4816,0
旅游,1612940685,286963,4003,102,70,81,1
旅游,1001004316763,1161797,11262,77,108,71,0
旅游,1758819347,3390904,28201,111,455,2107,0
旅游,838765207,1150191,17780,273,854,5770,5
旅游,1349056160,1830227,15833,37,170,167,0
旅游,2976709514,105600,925,3,20,430,0
旅游,3065878541,15918075,653111,18992,18186,3500,0
旅游,2697587010,2115840,34407,159,287,566,0
旅游,3444546090,681950,9538,109,203,72,0
旅游,1001000113751,393809,10208,214,470,5474,0
旅游,1001002148848,192700,2822,13,63,68,0
旅游,1934368327,63130,755,4,16,21,0
旅游,1001003047829,908313,10782,172,225,109,0
旅游,1001002980938,12101757,127967,430,776,958,0
旅游,926152531,479226,9354,98,155,73,0
旅游,1932989903,439397,7678,156,308,603,0
旅游,1791594708,90178,794,12,15,1183,0
旅游,2103976772,861682,11667,78,117,1884,1
旅游,1024233269,307665,4052,85,118,890,0
旅游,2692198651,145618,7905,110,186,57180,0
旅游,3341819149,95235,2047,84,192,1616,0
旅游,1745764828,118939,770,0,11,26,0
旅游,1732816828,197873,1987,4,161,95,0
旅游,3091123586,1396627,10291,54,117,12681,0
旅游,2432565460,1866484,19616,82,280,1155,0
旅游,3301494317,66607,602,24,57,0,0
旅游,2538335520,6857279,75289,1588,1860,7990,3
旅游,642131794,1291197,12272,211,309,128,0
旅游,2146385559,698469,6161,22,113,221,0
旅游,2960674274,2388236,59338,693,1001,5533,3
旅游,1001001764374,475263,10317,83,118,96,0
旅游,2494224314,361693,5000,98,208,467,1
旅游,2435971090,272417,7530,49,492,203,0
旅游,1001002373608,1340975,32292,1415,2917,619,4
旅游,1001002673881,3601619,27635,69,298,760,0
旅游,2163182212,1209452,17831,189,362,333,0
旅游,1550563698,128822,1374,18,26,107,0
旅游,1916927571,85290,1766,121,256,745,1
旅游,1001002982011,111558,1265,19,24,54,0
旅游,1474465990,280731,2718,26,114,16964,1
旅游,1651229740,3455812,97616,833,953,821,0
旅游,939642667,1861233,13502,42,136,641,0
旅游,1001002817577,145448,2584,12,53,17,0
旅游,2218892430,2527669,99388,1389,1578,18382,6
旅游,2715132741,78409,626,14,64,2377,0
旅游,2923835507,280899,5961,47,129,10394,1
旅游,3461736983,350346,5313,10,57,63,0
旅游,1789638438,149022,2330,57,95,3554,0
旅游,1001002782871,114354,1050,4,13,17,0
旅游,878005757,5521627,53197,909,919,1236,0
旅游,1720473675,1574719,22172,399,282,104,0
旅游,3202442706,617561,7617,119,437,18997,0
旅游,1001002988503,343635,3722,25,44,24,0
旅游,1778960140,790881,7608,41,80,83,0
旅游,1205563124,551233,5160,197,1234,1869,0
旅游,1001002934132,312238,5831,44,95,24,0
旅游,1850746405,609974,5693,21,79,193,0
旅游,1001001444062,91577,2335,104,187,37,0
旅游,1137256237,926762,12775,64,174,91,0
旅游,1828598052,1299601,38264,1699,2809,538,0
旅游,3238833983,80255,970,7,33,2260,0
旅游,1001002938032,19507878,344895,8855,7931,2287,0
旅游,2483699929,252794,2337,18,44,16119,0
旅游,2946270026,669373,5192,29,63,17848,0
旅游,1001005273540,259128,1912,26,24,15,0
旅游,1755271846,10238048,104954,577,1008,3787,0
旅游,1583474910,317183,3418,30,198,5752,1
旅游,1702909835,371761,3081,15,371,177,0
旅游,1507018164,411521,3570,49,84,46,0
旅游,1511950937,1178674,14274,80,128,5667,0
旅游,2051880157,4155043,44450,185,248,5836,48
旅游,2708602668,5482646,88885,894,1244,635,1
旅游,3370780850,94411,610,0,31,193,5
旅游,1503004735,229467,1842,11,35,864,0
旅游,1001005272603,17298549,119797,1314,1858,1014,0
旅游,1530581156,158463,1036,104,135,3102,0
旅游,1919004853,212864,3777,58,256,139,0
旅游,3208135748,95958,980,8,16,264,0
旅游,3418434840,1088048,2922,18,138,380,0
旅游,918709780,115777,1442,27,58,5291,0
旅游,1738554899,122449,937,6,23,763,0
旅游,1795682862,606463,11410,121,153,1130,0
旅游,1797637006,84910,639,3,18,700,0
旅游,3276394201,1284237,15742,48,153,1168,0
旅游,438014184,391005,3485,28,114,7459,0
旅游,2687078716,5388071,60169,922,1314,458,0
旅游,1352741634,72484,2472,135,190,12753,0
旅游,2295405534,546760,13705,72,191,122,0
旅游,2724130440,236309,2131,37,57,311,0
旅游,2847268164,828302,14245,11,47,755,0
旅游,1001002806426,136434,2148,113,71,58,1
旅游,2064109906,321401,4365,6,22,882,0
旅游,3501306858,5039433,59549,542,654,5324,2
旅游,1940261443,404577,10999,120,243,334,0
旅游,2095129305,168669,2142,11,77,379,0
旅游,1502979914,172365,2619,7,22,248,0
旅游,1584265244,4468762,40237,584,3855,24820,0
旅游,3212295523,726783,7601,27,76,5361,0
旅游,1001001167955,62394,613,3,15,192,0
旅游,1001005688676,150552,881,7,34,18,0
旅游,1748631372,1531066,16351,73,320,142,0
旅游,1219471541,917226,15325,332,304,14913,0
旅游,1991871960,190843,6303,246,507,130,1
旅游,3387525356,72797,1328,53,92,10108,1
旅游,351126419,2320801,28335,91,164,4568,0
旅游,2075733524,139517,6262,109,146,15921,1
旅游,3180658692,8686558,143072,3287,8361,1345,0
旅游,1001003213413,1038574,35936,789,951,304,0
旅游,1789707378,7655461,181629,1691,2012,1786,0
旅游,2382519092,94183,1798,50,109,55,0
旅游,2953908355,3457225,214073,3530,4677,6181,0
旅游,1907995581,537470,16564,194,308,3599,0
旅游,3479663693,130837,1538,10,43,25,0
旅游,1001003012704,927155,8417,45,153,76,0
旅游,1001003512834,398706,2966,17,40,27,0
旅游,1739564733,592117,12640,331,1058,3100,0
旅游,2919917280,122092,770,2,17,10767,1
旅游,2323296942,307637,5629,202,424,52,0
旅游,1001000385841,91062,597,5,25,462,0
旅游,1927536592,175252,1265,3,44,4576,2
旅游,1001003964727,297226,4209,72,59,42,0
旅游,1473093391,161082,2003,53,286,156189,0
旅游,178336817,683959,11137,32,78,127,0
旅游,1438160392,901782,8871,50,326,1292,0
旅游,3124544231,2957063,89960,1611,2173,0,0
旅游,1001005507287,1372750,29146,1249,1863,184,0
旅游,1486542988,351902,3982,11,20,35895,0
旅游,1844592679,76422,501,7,26,241,0
旅游,2539084404,198605,2547,44,95,92,0
旅游,1755391629,3228299,33054,781,1299,3266,1
旅游,1637987518,120159,3185,34,38,315,1
旅游,1754816885,157405,2376,8,33,342,0
旅游,3514491960,127722,2609,52,182,670,0
旅游,1497526618,210593,4186,113,100,216,0
旅游,1001000113340,244123,5546,143,250,514,0
旅游,1001003213071,1243904,24898,249,303,280,0
旅游,1107252893,108232,983,4,21,32,0
旅游,3425405217,976380,6951,77,253,171,0
旅游,3600393475,2306078,66502,1285,2461,7620,1
旅游,1001002783236,153896,2962,116,212,31,0
旅游,1916906818,178110,4362,136,354,3334,0
旅游,3367624901,592459,6914,96,189,2047,0
旅游,1001003121124,3088052,57213,716,1040,317,0
旅游,1628830550,1113012,9871,67,154,159,1
旅游,1785726668,723524,10422,209,483,277973,0
旅游,1808944603,1107605,27054,499,834,276,0
旅游,1802184142,150302,1507,4,78,540,0
旅游,3509297951,740002,8343,6,40,6909,0
旅游,1092108934,166502,884,1,55,76,0
旅游,1565141291,2834809,39420,498,702,1142,0
旅游,1001003019423,5193460,78769,345,674,551,0
旅游,1459630668,135290,1784,26,145,6215,30
旅游,1747762202,26703292,282985,6480,6183,2627,0
旅游,3463933454,1513476,11150,22,61,17497,1
旅游,3526262406,2866337,11071,302,425,7911,0
旅游,1969964801,1456791,28022,606,436,6969,1
旅游,3532473868,136564,1143,20,122,145,0
旅游,1001004228909,218015,3011,26,46,41,0
旅游,2771836259,302669,10785,320,1365,2859,1
旅游,3089423808,87090,2684,30,266,6698,0
旅游,1779670573,1689179,17064,73,111,221,0
旅游,1795647645,912482,13593,163,289,99,0
旅游,1525033549,1410622,11908,29,141,419,0
旅游,1746873969,109713,1240,28,63,57,0
旅游,2077508466,443446,4583,40,100,18721,0
旅游,1001003873173,18594179,147099,1372,2609,1547,0
旅游,228407041,99774,983,1,8,16,0
旅游,1541612237,1918877,57156,635,744,1131,6
旅游,2122053473,996900,25576,299,373,7131,0
旅游,1001001626002,342629,5382,153,353,68,0
旅游,1001002058507,6781259,86267,426,1188,53932,267
旅游,1217549753,1145252,9357,61,170,164,1
旅游,1806147988,6851110,196180,4505,7532,1552,0
旅游,2367282145,422797,6408,25,366,16747,0
旅游,860235538,187655,2953,20,29,5018,2
旅游,2454117457,83893,702,5,8,9376,30
旅游,1001000080210,101984,1326,34,122,27,0
旅游,1738792248,82159,661,9,31,2497,0
